ct_registration_number,brand_name,wholesaler_name,wholesaler_credential
LBD.0151567,LEONE DE CASTRIS PRIMITIVO II MEDAGLIONE,INDIE WINE INC,LIW.0000777
LBD.0151565,LEONE DE CASTRIS SALICE SELENTINO RISERVA,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0221015,LEONERO VINO NOBILE DI MONTEPULCIANO TOSCANA,"WINE TWIST DISTRIBUTOR, LLC",LIW.0000733
LBD.0185118,LEONETTI CELLAR CABERNET SAUVIGNON,WINEBOW INC,LIW.0000548
LBD.0185119,LEONETTI CELLAR MERLOT,WINEBOW INC,LIW.0000548
LBD.0185120,LEONETTI CELLAR RESERVE,WINEBOW INC,LIW.0000548
LBD.0185121,LEONETTI CELLAR SANGIOVESE,WINEBOW INC,LIW.0000548
LBD.0218888,LEOPOLD BLAUFRANKISCH,INTERWINE INC,LIW.0000513
LBD.0212104,LEOPOLD BRO SOUR LIME CORDIAL,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0212102,LEOPOLD BROS 8 YEAR OLD STRAIGHT BOURBON,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0212103,LEOPOLD BROS APERITIVO,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0237174,LEOPOLD BROS BOURBON WHISKEY 8 YEAR THREE CHAMBER RYE FINISH,MSW CT LLC,LIW.0000775
LBD.0237178,LEOPOLD BROS MICHIGAN CHERRY WHISKEY,MSW CT LLC,LIW.0000775
LBD.0237179,LEOPOLD BROS MICHIGAN TART CHERRY WHISKEY,MSW CT LLC,LIW.0000775
LBD.0182847,LEOPOLD BROS NAVY STRENGTH GIN,WINEBOW INC,LIW.0000548
LBD.0182847,LEOPOLD BROS NAVY STRENGTH GIN,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0237177,LEOPOLD BROS NEW ENGLAND CRANBERRY LIQUEUR,MSW CT LLC,LIW.0000775
LBD.0237176,LEOPOLD BROS SOUR APPLE LIQUEUR,MSW CT LLC,LIW.0000775
LBD.0237175,LEOPOLD BROS SOUR LIME CORDIAL,MSW CT LLC,LIW.0000775
LBD.0181686,LEOPOLD BROS SUMMER GIN,WINEBOW INC,LIW.0000548
LBD.0181686,LEOPOLD BROS SUMMER GIN,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0218887,LEOPOLD GRUNER VELTLINER,INTERWINE INC,LIW.0000513
LBD.0218829,LEOPOLD ROSE,INTERWINE INC,LIW.0000513
LBD.0225363,LEOS BLANC CUVÉE AUGUSTA,BRESCOME BARTON INC,LIW.0000506
LBD.0209337,"LEOS, ROSÉ, CUVÉE AUGUSTA",BRESCOME BARTON INC,LIW.0000506
LBD.0140107,LEPANTO SOLERA GRAN RESERVA O.V.,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0140108,LEPANTO SOLERA GRAN RESERVA P.X.,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0140106,LEPANTO SOLERA GRAN RESERVA,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0185171,LEROUX AMARETTO,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185172,LEROUX ANISETTE,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185170,LEROUX APRICOT FLAVORED BRANDY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185210,LEROUX BLACKBERRY FLAVORED BRANDY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185211,LEROUX BLUE CURACAO,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185213,LEROUX CHERRY FLAVORED BRANDY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185214,LEROUX COFFEE FLAVORED BRANDY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185234,LEROUX CREME DE BANANA,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185235,LEROUX CREME DE CACAO DARK,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185228,LEROUX CREME DE CASSIS,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185229,LEROUX CREME DE MENTHE GREEN,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185230,LEROUX CREME DE MENTHE WHITE,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185231,LEROUX GINGER FLAVORED BRANDY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0200871,LEROUX KIRSCH CHERRY FLAVORED BRANDY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185232,LEROUX KIRSCHWASSER FLAVORED BRANDY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185233,LEROUX MELON LIQUEUR,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185236,LEROUX ORANGE CURACAO,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185237,LEROUX PEACH FLAVORED BRANDY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185255,LEROUX PEPPERMINT SCHNAPPS 20%,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185256,LEROUX PEPPERMINT SCHNAPPS 50%,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185254,LEROUX POLISH BLACKBERRY FLAVORED BRANDY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0185162,LEROUX TRIPLE SEC LIQUEUR,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0207672,LEROUX WATERMELON LIQUEUR,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0215158,LES ALLEES DE CANTEMERLE,WILSON DANIELS WHOLESALE LLC,LIW.0000716
LBD.0213670,LES ALLIES BOCA RATON CABERNET SAUVIGNON,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0213671,LES ALLIES BOCA RATON PINOT NOIR,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0213668,LES ALLIES BOCA RATON SAUVIGNON BLANC,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0230598,LES ALLIES BOCA RATON SPARKLING BRUT,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0213669,LES ALLIES BOCA RATON VDF CHARDONNAY,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0181088,LES ALLIES CABERNET SAUVIGNON,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0181088,LES ALLIES CABERNET SAUVIGNON,EUSTELA IMPORTS LLC,LIW.0000730
LBD.0161862,LES ALLIES CHARDONNAY,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0149306,LES ALLIES CHATEAUNEUF DU PAPE,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0143306,LES ALLIES COTES DE PROVENCE,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0181179,LES ALLIES COTES DU RHONE,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0219966,LES ALLIES GIGONDAS,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0169094,LES ALLIES MACON VILLAGES,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0172573,LES ALLIES PET NAT ROSE,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0161863,LES ALLIES PINOT NOIR,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0163012,LES ALLIES SANCERRE,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0181089,LES ALLIES SAUVIGNON BLANC,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0181089,LES ALLIES SAUVIGNON BLANC,EUSTELA IMPORTS LLC,LIW.0000730
LBD.0170817,LES ALLIES SPARKLING BRUT ROSE,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0141203,LES ALLIES VIN DE FRANCE ROSE,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0183813,LES ANDIDES,F & F DISTRIBUTORS INC,LIW.0000504
LBD.0198493,LES ARUMS DE LAGRANGE,WINEBOW INC,LIW.0000548
LBD.0156923,LES BELLES ROCHES BOURGOGNE BLANC,MSW CT LLC,LIW.0000594
LBD.0211090,LES BOBOS - CHARDONNAY - FRANCE - KEG,INTERWINE INC,LIW.0000513
LBD.0195518,LES BOTTES ROUGES BOOMERANG,CLASSIC WINES INC,LIW.0000565
LBD.0195519,LES BOTTES ROUGES FACE B,CLASSIC WINES INC,LIW.0000565
LBD.0157296,LES BREBIS 2016 WALNUT HILL PINOT NOIR,ARTISAN WINES INC,LIW.0000641
LBD.0157297,LES BREBIS 2016 ZENITH VINEYARD PINOT NOIR,ARTISAN WINES INC,LIW.0000641
LBD.0191017,LES BREBIS EOLA-AMITY HILLS PINOT NOIR,ARTISAN WINES INC,LIW.0000641
LBD.0131993,LES BREBIS WILLIAMETTE VALLEY PINOT NOIR,ARTISAN WINES INC,LIW.0000641
LBD.0206321,LES CAILLOUX BLANC - MACON VILLAGES,LTD,LIW.0000631
LBD.0216023,LES CAILLOUX ST NICOLAS DE BOURGUEIL CABERNET FRANC,WINEBOW INC,LIW.0000548
LBD.0177328,LES CALCAIRES SAUVIGNON BLANC,SAVORIAN INC,LIW.0000676
LBD.0207045,LES CALCAIRES,SAVORIAN INC,LIW.0000676
LBD.0207126,LES CAPRIADES PET-SEC BLANC,CLASSIC WINES INC,LIW.0000565
LBD.0218545,LES CAPRIADES POIRE DE LOUP,CLASSIC WINES INC,LIW.0000565
LBD.0221744,LES CARRELETS BORDEAUX ROUGE,MASSANOIS CT LLC,LIW.0000753
LBD.0191171,LES CARRIERES DE MEZY SAUVIGNON BLANC,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0191171,LES CARRIERES DE MEZY SAUVIGNON BLANC,EUSTELA IMPORTS LLC,LIW.0000730
LBD.0188684,LES CEDRES D'HOSTEN LISTRAC MEDOC,VOTTO VINES IMPORTING LLC,LIW.0000625
LBD.0217594,LES CHAMPS D'OR,INTERWINE INC,LIW.0000513
LBD.0231143,LES CHEVAUX DE PATACHE D'AUX,MASSANOIS CT LLC,LIW.0000753
LBD.0231918,LES CLEFS DU CALADAS CHATEAUNEUF DU PAPE RED WINE,MASSANOIS CT LLC,LIW.0000753
LBD.0225393,LES CLEFS ST ESTEPHE,ANGELINI WINE LTD,LIW.0000519
LBD.0180269,LES CONDEMINES MACON UCHIZY,LTD,LIW.0000631
LBD.0101252,LES COSTES NOBLES TERRES RED,FINE TERROIR SELECTIONS LLC,LIW.0000629
LBD.0230365,LES COTILLES - CHARDONNAY VIN DE FRANCE,LTD,LIW.0000631
LBD.0230366,LES COTILLES - PINOT NOIR,LTD,LIW.0000631
LBD.0232683,LES CRETES - PINOT NERO REVEI,LTD,LIW.0000631
LBD.0232650,LES CRETES - VALLE D'AOSTA – CHARDONNAY,LTD,LIW.0000631
LBD.0232649,LES CRETES - VALLE D'AOSTA - CHARDONNAY CUVEE BOIS,LTD,LIW.0000631
LBD.0232653,LES CRETES - VALLE D'AOSTA - NEBBIOLO,LTD,LIW.0000631
LBD.0232651,LES CRETES - VALLE D'AOSTA - PETITE ARVINE,LTD,LIW.0000631
LBD.0232652,LES CRETES - VALLE D'AOSTA - PINOT NERO,LTD,LIW.0000631
LBD.0201395,LES CROISILLE CAHORS CALCAIRE,WILSON DANIELS WHOLESALE LLC,LIW.0000716
LBD.0092790,LES DARONS,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0189333,LES DELICES ROSE DE PRESTIGE,CLASSIC WINES INC,LIW.0000565
LBD.0193974,LES DEUX MOULINS PINOT NOIR,CLASSIC WINES INC,LIW.0000565
LBD.0193973,LES DEUX MOULINS SAUVIGNON BLANC,CLASSIC WINES INC,LIW.0000565
LBD.0217604,LES DEUX TOURS SAUVIGNON BLANC,BRESCOME BARTON INC,LIW.0000506
LBD.0123481,LES DOMANIALES ANJOU,SAVORIAN INC,LIW.0000676
LBD.0212154,LES ECLAIREURS EL CHARDO VIN DE FRANCE CHARDONNAY,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0212155,LES ECLAIREURS EL PINOT VIN DE FRANCE PINOT NOIR,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0212213,LES ECLAIREURS LE VIN DES COPAINS TOURAINE RED WINE,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0212156,LES ECLAIREURS LE VIN DES COPAINS TOURAINE SAUVIGNON BLANC,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0160938,LES ENFANTS SAUVAGES CHE CHAUVIO,T EDWARD CONNECTICUT LTD,LIW.0000576
LBD.0197178,LES FILETS COTES DE THAU PIQUEPOUL & TERRET,WINEBOW INC,LIW.0000548
LBD.0209279,LES FILETS COTES DE THAU ROSE,WINEBOW INC,LIW.0000548
LBD.0204304,LES FILETS PICPOUL DE PINET,WINEBOW INC,LIW.0000548
LBD.0099327,LES FORTS DE LATOUR PAUILLAC RED,WINEBOW INC,LIW.0000548
LBD.0134789,LES FRANCHES POUILLY FUME BY PASCAL JOLIVET,WINEBOW INC,LIW.0000548
LBD.0134792,LES FRANCHES SANCERRE BY PASCAL JOLIVET,WINEBOW INC,LIW.0000548
LBD.0168913,LES FRANCHES SAUVIGNON BLANC BY JOLIVE,WINEBOW INC,LIW.0000548
LBD.0161889,LES FRERES BASTARDS RED VIN DE FRANCE GRENACHE SYRAH MOURVEDRE,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0161889,LES FRERES BASTARDS RED VIN DE FRANCE GRENACHE SYRAH MOURVEDRE,WINEBOW INC,LIW.0000548
LBD.0161890,LES FRERES BASTARDS ROSE VIN DE FRANCE GRENACHE SYRAH MERLOT,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0161890,LES FRERES BASTARDS ROSE VIN DE FRANCE GRENACHE SYRAH MERLOT,WINEBOW INC,LIW.0000548
LBD.0161887,LES FRERES BASTARDS WHITE VIN DE FRANCE GRENACHE BLANC SAUVIGNON BLANC MARSANNE,WINEBOW INC,LIW.0000548
LBD.0161887,LES FRERES BASTARDS WHITE VIN DE FRANCE GRENACHE BLANC SAUVIGNON BLANC MARSANNE,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0171955,LES FRERES PERROUD BROUILLY AMETHYSTE,"SERGE DORE SELECTIONS CT, LLC",LIW.0000737
LBD.0171955,LES FRERES PERROUD BROUILLY AMETHYSTE,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0035359,LES GARRIGUES COTES DU RHONE,MSW CT LLC,LIW.0000594
LBD.0224308,LES GRANDS BOUILLONS PICPOUL DE PINET WHITE WINE,MURPHY BEVERAGE COMPANY INC,LIW.0000627
LBD.0183539,LES GRANGEONS DE L'ALBARINE ALTIESSE EN PARADIS VIN DE FRANCE WHITE WINE,CLASSIC WINES INC,LIW.0000565
LBD.0222806,LES GRIFFONS DE PICHON BARON BORDEAUX BLANC,WINEBOW INC,LIW.0000548
LBD.0142271,LES GRIFFONS DE PICHON BARON,WINEBOW INC,LIW.0000548
LBD.0096926,LES HALOS DE JUPITER RED CHATEAUNEUF DU PAPE,WINEBOW INC,LIW.0000548
LBD.0096927,LES HALOS DE JUPITER RED COSTIERES DE NIMES,WINEBOW INC,LIW.0000548
LBD.0096928,LES HALOS DE JUPITER RED COTES DU RHONE,WINEBOW INC,LIW.0000548
LBD.0096929,LES HALOS DE JUPITER RED GIGONDAS,WINEBOW INC,LIW.0000548
LBD.0096931,LES HALOS DE JUPITER RED VACQUEYRAS,WINEBOW INC,LIW.0000548
LBD.0234434,LES HAUTS DE BEL-AIR,LTD,LIW.0000631
LBD.0230752,LES HAUTS DE BONIN,LUNEAU USA INC,LIW.0000545
LBD.0122771,LES HAUTS DE LA MAURELLE COTES DU RHONE,WINEBOW INC,LIW.0000548
LBD.0207931,LES HAUTS DE LAGARDE - RED WINE BLEND - AOC BORDEAUX TABLE RED WINE,INTERWINE INC,LIW.0000513
LBD.0207928,LES HAUTS DE LAGARDE - RED WINE BLEND - AOC BORDEAUX,INTERWINE INC,LIW.0000513
LBD.0207929,LES HAUTS DE LAGARDE - ROSE WINE - AOC BORDEAUX,INTERWINE INC,LIW.0000513
LBD.0207930,LES HAUTS DE LAGARDE - WHITE WINE - AOC BORDEAUX,INTERWINE INC,LIW.0000513
LBD.0210503,LES HAUTS DE LAGARDE - WHITE WINE BLEND - AOC BORDEAU,INTERWINE INC,LIW.0000513
LBD.0220106,LES HAUTS DE LAGARDE BLANC BORDEAUX 14.00%,INTERWINE INC,LIW.0000513
LBD.0212248,LES HAUTS DE LAGARDE LES HAUTS DE LAGARDE BORDEAUX ROUGE BORDEAUX AOC BORDEAUX 12.50%,INTERWINE INC,LIW.0000513
LBD.0212246,LES HAUTS DE LAGARDE LES HAUTS DE LAGRADE BORDEAUX BLANC BORDEAUX AOC BORDEAUX 12.50%,INTERWINE INC,LIW.0000513
LBD.0212249,LES HAUTS DE LAGARDE MERLOT CABERNET SAUVIGNON CABERNET FRANC AOC BORDEAUX 14.50%,INTERWINE INC,LIW.0000513
LBD.0210502,LES HAUTS DE LAGARDE RED WINE BLEND AOC BORDEAUX,INTERWINE INC,LIW.0000513
LBD.0220105,LES HAUTS DE LAGARDE ROSÉ WINE BORDEAUX 13.00%,INTERWINE INC,LIW.0000513
LBD.0212250,LES HAUTS DE LAGARDE ROSA WINE BORDEAUX 13.50% 22186 001 000292,INTERWINE INC,LIW.0000513
LBD.0212247,LES HAUTS DE LAGARFDE LES HAUTES DE LAGARDE BORDEAUX ROUGE BORDEAUX AOC BORFDEAUX 13%,INTERWINE INC,LIW.0000513
LBD.0113463,LES HAUTS DE LARRIVET HAUT BRION RED PESSAC LEOGNAN,WINEBOW INC,LIW.0000548
LBD.0113464,LES HAUTS DE LARRIVET HAUT BRION SAUVIGNON BLANC PESSAC LEOGNAN,WINEBOW INC,LIW.0000548
LBD.0200896,LES HAUTS DE MERCUROL,"SERGE DORE SELECTIONS CT, LLC",LIW.0000737
LBD.0200896,LES HAUTS DE MERCUROL,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0215165,LES HAUTS DU TERTRE,WILSON DANIELS WHOLESALE LLC,LIW.0000716
LBD.0231277,LES HEMERIS SAUVIGNON BLANC,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0053107,LES HERITIERS DU COMTE LAFON MACON MILLY LAMARTINE,MSW CT LLC,LIW.0000594
LBD.0053435,LES HERITIERS DU COMTE LAFON MACON VILLAGE,MSW CT LLC,LIW.0000594
LBD.0086749,LES HERITIERS DU COMTE LAFON VIRE-CLESSE,MSW CT LLC,LIW.0000594
LBD.0227430,LES HERITIERS SAINT-GENYS CLOS MARCILLY MONOPOLE,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0227429,LES HERITIERS SAINT-GENYS CLOS MARCILLY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0209897,LES INDIGENES CHEMIN CHENIN BLANC,WINEBOW INC,LIW.0000548
LBD.0209898,LES INDIGENES CULTIVER GRENACHE BLANC,WINEBOW INC,LIW.0000548
LBD.0209899,LES INDIGENES RESPIRAIT GRENACHE ROUGE,WINEBOW INC,LIW.0000548
LBD.0209900,LES INDIGENES TOUJOURS CINSAULT,WINEBOW INC,LIW.0000548
LBD.0211885,LES JAMELLES CABERNET SAUVIGNON IGP PAYS D'OC,MASSANOIS CT LLC,LIW.0000753
LBD.0232274,"LES JAMELLES CABERNET SAUVIGNON, PAYS D'OC,TERROIRS DU SUD DE LA FRANCE",FINE TERROIR SELECTIONS LLC,LIW.0000629
LBD.0211886,LES JAMELLES MALBEC IGP PAYS D'OC,MASSANOIS CT LLC,LIW.0000753
LBD.0211887,LES JAMELLES PINOT NOIR IGP PAYS D'OC,MASSANOIS CT LLC,LIW.0000753
LBD.0223111,LES JAMELLES REFLECTS SECRETS,MASSANOIS CT LLC,LIW.0000753
LBD.0228628,LES JAMELLES ROSE WINE PAYS D'OC REFLECTS SECRETS,FINE TERROIR SELECTIONS LLC,LIW.0000629
LBD.0211888,LES JAMELLES SAUVIGNON BLANC IGP PAYS D'OC,MASSANOIS CT LLC,LIW.0000753
LBD.0232275,"LES JAMELLES SAUVIGNON BLANC, PAYS D'OC, TERROIRS DU SUD DE LA FRANCE",FINE TERROIR SELECTIONS LLC,LIW.0000629
LBD.0232751,"LES JAMELLES SYRAH, PAYS D'OC, TERROIRS DU SUD DE LA FRANCE",FINE TERROIR SELECTIONS LLC,LIW.0000629
LBD.0216694,LES JARDINS DE THESEIIS SAUVIGNON BLANC J. POIRA,CLASSIC WINES INC,LIW.0000565
LBD.0216589,LES LEGENDES BORDEAUX BLANC,BRESCOME BARTON INC,LIW.0000506
LBD.0216589,LES LEGENDES BORDEAUX BLANC,SUTTON & MAXWELL IMPORTS LLC,LIW.0000637
LBD.0216582,LES LEGENDES BORDEAUX ROUGE,BRESCOME BARTON INC,LIW.0000506
LBD.0216582,LES LEGENDES BORDEAUX ROUGE,SUTTON & MAXWELL IMPORTS LLC,LIW.0000637
LBD.0237108,LES LEGENDES PAUILLAC,BRESCOME BARTON INC,LIW.0000506
LBD.0237108,LES LEGENDES PAUILLAC,SUTTON & MAXWELL IMPORTS LLC,LIW.0000637
LBD.0216583,LES LEGENDES ST. EMILION RED WINE,BRESCOME BARTON INC,LIW.0000506
LBD.0216583,LES LEGENDES ST. EMILION RED WINE,SUTTON & MAXWELL IMPORTS LLC,LIW.0000637
LBD.0225078,LES LILIS COTEAUX BOURGUIGNONS,BRESCOME BARTON INC,LIW.0000506
LBD.0173327,LES LUNELUS TOURAINE,VOTTO VINES IMPORTING LLC,LIW.0000625
LBD.0108045,LES MARTINIERES WHITE WINE,WINEBOW INC,LIW.0000548
LBD.0205646,LES MONTACHINS,"VILLAGE GREEN PRESERVATION SOCIETY WINE AND SPIRITS, LLC",LIW.0000749
LBD.0234518,LES MOULONS SANCERRE,FINE TERROIR SELECTIONS LLC,LIW.0000629
LBD.0224820,LES PAGODES DE COS (ROUGE),WILSON DANIELS WHOLESALE LLC,LIW.0000716
LBD.0099958,LES PAGODES DE COS SAINT-ESTEPHE,WINEBOW INC,LIW.0000548
LBD.0078589,LES PALLIERES LES RACINES,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0078589,LES PALLIERES LES RACINES,WINEBOW INC,LIW.0000548
LBD.0078588,LES PALLIERES TERRASSE DU DIABLE,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0078588,LES PALLIERES TERRASSE DU DIABLE,WINEBOW INC,LIW.0000548
LBD.0206827,LES PARCELLES CHARDONNAY,WINEBOW INC,LIW.0000548
LBD.0225549,LES PARCELLES MARC DUPAS SAUVIGNON BLANC,WINEBOW INC,LIW.0000548
LBD.0130772,LES PARCELLES MUSCADET SEVRE ET MAINE SUR LIE,WINEBOW INC,LIW.0000548
LBD.0193484,LES PARCELLES PINOT NOIR,WINEBOW INC,LIW.0000548
LBD.0180154,LES PARCELLES SANCERRE,WINEBOW INC,LIW.0000548
LBD.0178961,LES PARCELLES TETE NAT IGNY RUSE ROSE,A MISSING LINK LLC,LIW.0000659
LBD.0194078,LES PARCELLES TOURAINE SAUVIGNON BLANC,WINEBOW INC,LIW.0000548
LBD.0225550,LES PARCELLES VIOGNIER,WINEBOW INC,LIW.0000548
LBD.0180152,LES PARCELLES VOUVRAY,WINEBOW INC,LIW.0000548
LBD.0140349,LES PARCESLLES SAUVIGNON BLANC,WINEBOW INC,LIW.0000548
LBD.0232276,"LES PETITES JAMELLES RED WINE, TERRES DU MIDI",FINE TERROIR SELECTIONS LLC,LIW.0000629
LBD.0236546,"LES PETITES JAMELLES ROSE WINE, TERRES DU MIDI",FINE TERROIR SELECTIONS LLC,LIW.0000629
LBD.0232277,"LES PETITES JAMELLES WHITE WINE, TERRES DU MIDI",FINE TERROIR SELECTIONS LLC,LIW.0000629
LBD.0216024,LES PIERRES BLANCHES TOURAINE SAUVIGNON BLANC,WINEBOW INC,LIW.0000548
LBD.0231506,LES PRELUDES BOURGOGNE CHARDONNAY,LUNEAU USA INC,LIW.0000545
LBD.0231505,LES PRELUDES MACON,LUNEAU USA INC,LIW.0000545
LBD.0231504,LES PRELUDES POULLY-FUISSE,LUNEAU USA INC,LIW.0000545
LBD.0231503,LES PRELUDES SAINT-VERAN,LUNEAU USA INC,LIW.0000545
LBD.0228860,LES PRIEURS DE LA CAPELLE SAINT EMILION,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0183756,LES PRODUCTEURS DE LA SCA DES GRANDS VINS DE PAZAC,EUSTELA IMPORTS LLC,LIW.0000730
LBD.0236244,LES REMPARTS DE BEL AIR BORDEAUX SUPERIEUR,LTD,LIW.0000631
LBD.0235031,LES RIGANES SDW,BRESCOME BARTON INC,LIW.0000506
LBD.0211282,LES ROCAILLES APREMONT,VOTTO VINES IMPORTING LLC,LIW.0000625
LBD.0211372,LES ROCAILLES MONDEUSE,VOTTO VINES IMPORTING LLC,LIW.0000625
LBD.0211283,LES ROCAILLES ROSE DE SAVOIE,VOTTO VINES IMPORTING LLC,LIW.0000625
LBD.0222994,LES ROCHES DES DENTELLES VACQUEYRAS,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0184165,LES SARRINS ROSE WINE COTES DE PROVENCE,BRESCOME BARTON INC,LIW.0000506
LBD.0221446,LES SUBVERSIFS CREME DE MENTHE ARTHUR WINTERGREEN PEPPERMINT,F & F DISTRIBUTORS INC,LIW.0000504
LBD.0221449,LES SUBVERSIFS CREME DE MENTHE EMILIE GLACIALE LEMONGRASS GINGER,F & F DISTRIBUTORS INC,LIW.0000504
LBD.0221448,LES SUBVERSIFS CREME DE MENTHE EVA LABRADOR TEA,F & F DISTRIBUTORS INC,LIW.0000504
LBD.0221450,LES SUBVERSIFS CREME DE MENTHE IDOLA CINNAMON,F & F DISTRIBUTORS INC,LIW.0000504
LBD.0221447,LES SUBVERSIFS CREME DE MENTHE ISABELLE PEPPERMINT,F & F DISTRIBUTORS INC,LIW.0000504
LBD.0182631,LES TERRASSES DE L'AYGUES,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0038729,LES TOURELLES DE LONGUEVILLE,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0191114,"LES TRAVERSES DE FONTANES, CABERNET SAUVIGNON",CLASSIC WINES INC,LIW.0000565
LBD.0216059,LES TROIS,CLASSIC WINES INC,LIW.0000565
LBD.0218011,LES TROIS CROIX BORDEAUX 750ML 2017,BRESCOME BARTON INC,LIW.0000506
LBD.0188533,LES TROIS CROIX,BRESCOME BARTON INC,LIW.0000506
LBD.0131919,LES TROIS SOURCES ROSE,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0219834,LES TROIS TERROIRS COTEAUX DU GIENNOIS,VOTTO VINES IMPORTING LLC,LIW.0000625
LBD.0188731,LES VALLONS D'OR SANCERRE,CLASSIC WINES INC,LIW.0000565
LBD.0229150,LES VIGNERONS D'ESTEZARGUES VIN DE FRANCE CARAMBOUILLE,WILSON DANIELS WHOLESALE LLC,LIW.0000716
LBD.0234244,LES VIGNERONS DU CASTELAS COTES DU RHONE RED,LA VILLE IMPORTS INC,LIW.0000772
LBD.0234246,LES VIGNERONS DU CASTELAS COTES DU RHONE ROSE,LA VILLE IMPORTS INC,LIW.0000772
LBD.0234245,LES VIGNERONS DU CASTELAS COTES DU RHONE WHITE,LA VILLE IMPORTS INC,LIW.0000772
LBD.0146370,LES VIGNES DE SAINT GERMAIN,FINE TERROIR SELECTIONS LLC,LIW.0000629
LBD.0151051,LES VIGNOBLES GUEISSARD PETITE ROSE,WINEBOW INC,LIW.0000548
